Item Name	Type	Subtype	Source	Gold Cost
Amulet of Aberrant Empathy	Wondrous	Neck	Complete Adventurer p 132	1400
Armsbands of Might	Wondrous	Wrist	Complete Adventurer p 132	4100
Badge of Valor	Wondrous	Slotless	Complete Adventurer p 132	1000
Choker of Eloquence	Wondrous	Neck	Complete Adventurer p 132	6000
Greater Choker of Eloquence	Wondrous	Neck	Complete Adventurer p 132	24000
Collar of Obedience	Wondrous	Neck	Complete Adventurer p 132	1500
Crown of Steady Rulership	Wondrous	Head	Complete Adventurer p 132	4500
Flute of the Snake	Wondrous	Equipment	Complete Adventurer p 132	15400
Harp of the Immortal Maestro	Wondrous	Equipment	Complete Adventurer p 133	51000
Headband of Conscious Effort	Wondrous	Head	Complete Adventurer p 133	4000
Jumping Caltrops	Wondrous	Equipment	Complete Adventurer p 133	150
Lute of the Wandering Minstrel	Wondrous	Equipment	Complete Adventurer p 133	29500
Mandolin of the Inspiring Muse	Wondrous	Equipment	Complete Adventurer p 134	42000
Mask of Lies	Wondrous	Face	Complete Adventurer p 134	17000
Medal of Gallantry	Wondrous	Neck	Complete Adventurer p 134	1100
Monocle of Perusal	Wondrous	Face	Complete Adventurer p 134	6500
Papyrus of Deception	Wondrous	Equipment	Complete Adventurer p 134	2000
Pendant of Draconic Empathy	Wondrous	Neck	Complete Adventurer p 134	3300
Possum Pouch	Wondrous	Equipment	Complete Adventurer p 134	1800
Rope of Stone	Wondrous	Equipment	Complete Adventurer p 135	2800
Sandals of Harmonious Balance	Wondrous	Feet	Complete Adventurer p 135	14000
Scarf of Warmth	Wondrous	Neck	Complete Adventurer p 135	250
Shawl of Bewitching	Wondrous	Head	Complete Adventurer p 135	3500
Spellsight Spectacles	Wondrous	Face	Complete Adventurer p 135	2500
Spool of Endless Rope	Wondrous	Equipment	Complete Adventurer p 135	2000
Strings of Spell Storing	Wondrous	Equipment	Complete Adventurer p 136	45000
Stylus of the Masterful Hand	Wondrous	Equipment	Complete Adventurer p 136	3000
Trumpeter's Gift	Wondrous	Equipment	Complete Adventurer p 136	12700
Tunic of Steady Spellcasting	Wondrous	Chest	Complete Adventurer p 136	2500
Vial of the Last Gasp	Wondrous	Consumable	Complete Adventurer p 136	2200
Filcher's Friend	Wondrous	Ring	Complete Adventurer p 130	2500
Ring of Lockpicking	Wondrous	Ring	Complete Adventurer p 130	4500
Blade of Deception	Weapon	Melee	Complete Adventurer p 129	19820
Bow of Songs	Weapon	Ranged	Complete Adventurer p 129	32330
Bowstaff	Weapon	Ranged	Complete Adventurer p 129	10975
Bowstaff	Weapon	Melee	Complete Adventurer p 129	10975
Claws of the Leopard	Weapon	Melee	Complete Adventurer p 129	38305
Dagger of Defense	Weapon	Melee	Complete Adventurer p 129	58302
Guerrilla Spear	Weapon	Melee	Complete Adventurer p 129	32301
Songblade	Weapon	Melee	Complete Adventurer p 130	3360
Armor of Weapon Creation	Armor	Heavy	Arms and Equipment Guide p 93	42305
Bale Eye	Armor	Heavy	Arms and Equipment Guide p 94	38360
Disarmor	Armor	Heavy	Arms and Equipment Guide p 94	10875
Gazebane	Armor	Medium	Arms and Equipment Guide p 94	74050
Plantbane	Armor	Medium	Arms and Equipment Guide p 94	41240
Skin Paint	Wondrous	Consumable	Arms and Equipment Guide p 94	5000
Spider Shield	Shield	Light	Arms and Equipment Guide p 94	40809
Stonecunning	Armor	Heavy	Arms and Equipment Guide p 94	32130
Swarm Shield	Shield	Light	Arms and Equipment Guide p 94	6160
Tessellated Armor	Armor	Heavy	Arms and Equipment Guide p 95	11560
Useful Buckler	Shield	Buckler	Arms and Equipment Guide p 95	10265
Vampire Hunter	Armor	Heavy	Arms and Equipment Guide p 95	100000
Variable Shield	Shield	Light	Arms and Equipment Guide p 95	6560
Acid Fang Dagger	Weapon	Melee	Arms and Equipment Guide p 98	19102
Arrow of Disintegration	Ammunition	Arrow	Arms and Equipment Guide p 98	3307
Arrow of Eyes	Ammunition	Arrow	Arms and Equipment Guide p 98	1047
Arrowdeath Flail	Weapon	Melee	Arms and Equipment Guide p 99	33690
Axe of Anger	Weapon	Melee	Arms and Equipment Guide p 99	18320
Axe of Falls	Weapon	Ranged	Arms and Equipment Guide p 99	50308
Axe of Pairs	Weapon	Melee	Arms and Equipment Guide p 99	50306
Axe of Shards	Weapon	Melee	Arms and Equipment Guide p 99	19330
Axe of Storms	Weapon	Melee	Arms and Equipment Guide p 99	98660
Axe of the Joyous Dance	Weapon	Melee	Arms and Equipment Guide p 99	107906
Axe of the Winds	Weapon	Melee	Arms and Equipment Guide p 99	65930
Badgerclaw	Weapon	Melee	Arms and Equipment Guide p 100	32304
Balor's Sword of Flame	Weapon	Melee	Arms and Equipment Guide p 100	115870
Balor's Sword of Lightning	Weapon	Melee	Arms and Equipment Guide p 100	115870
Balor's Sword of Smiting	Weapon	Melee	Arms and Equipment Guide p 100	118670
Balor's Sword of Soul Stealing	Weapon	Melee	Arms and Equipment Guide p 100	219870
Battleaxe of the Bull	Weapon	Melee	Arms and Equipment Guide p 100	16310
Blade of the Duelist	Weapon	Melee	Arms and Equipment Guide p 100	16320
Bladed Crossbow	Weapon	Ranged	Arms and Equipment Guide p 100	32350
Bolt of Freedom	Ammunition	Bolt	Arms and Equipment Guide p 101	247
Bolt of Voices	Ammunition	Bolt	Arms and Equipment Guide p 101	767
Bonebreaker Hammer	Weapon	Melee	Arms and Equipment Guide p 101	18312
Bow of Arcane Might	Weapon	Ranged	Arms and Equipment Guide p 101	4600
Bow of Force	Weapon	Ranged	Arms and Equipment Guide p 102	32700
Bow of Mighty Pulling	Weapon	Ranged	Arms and Equipment Guide p 102	26375
Bow of Radiance	Weapon	Ranged	Arms and Equipment Guide p 102	40375
Bow of the Solars	Weapon	Ranged	Arms and Equipment Guide p 102	100100
Bow of Songs	Weapon	Ranged	Arms and Equipment Guide p 102	16330
Bow of the Steppes	Weapon	Ranged	Arms and Equipment Guide p 103	9525
Bow of Sympathetic Enhancement	Weapon	Ranged	Arms and Equipment Guide p 103	32300
Breaking Blade	Weapon	Melee	Arms and Equipment Guide p 103	9310
Brutal Axe	Weapon	Melee	Arms and Equipment Guide p 103	18310
Celestial Blade	Weapon	Melee	Arms and Equipment Guide p 103	18335
Celestial Mace	Weapon	Melee	Arms and Equipment Guide p 103	50312
Chain of Entangling	Weapon	Melee	Arms and Equipment Guide p 103	32325
Changeling Spear	Weapon	Melee	Arms and Equipment Guide p 103	18301
Chargebreaker	Weapon	Melee	Arms and Equipment Guide p 103	18305
Closing Blade	Weapon	Melee	Arms and Equipment Guide p 103	58700
Deathwand Crossbow	Weapon	Ranged	Arms and Equipment Guide p 103	10335
Dwarven Mauler Crossbow	Weapon	Ranged	Arms and Equipment Guide p 104	18700
Inevitable Crossbow	Weapon	Ranged	Arms and Equipment Guide p 104	18335
Crossbow of Retrieving	Weapon	Ranged	Arms and Equipment Guide p 104	13400
Crossbow of Trailing Flame	Weapon	Ranged	Arms and Equipment Guide p 104	18550
Cutlass of Surety	Weapon	Melee	Arms and Equipment Guide p 104	18310
Dagger of Entry	Weapon	Melee	Arms and Equipment Guide p 104	18502
Dart of Pinning	Weapon	Ranged	Arms and Equipment Guide p 104	18300
Desert's Heart	Weapon	Melee	Arms and Equipment Guide p 104	71175
Disarming Flail	Weapon	Melee 	Arms and Equipment Guide p 105	18935
Doorbreaker	Weapon	Melee	Arms and Equipment Guide p 105	8310
Dragontooth	Weapon	Melee	Arms and Equipment Guide p 105	40720
Electric Lash	Weapon	Melee	Arms and Equipment Guide p 105	50301
Elven Leaf Arrow	Ammuntion	Arrow	Arms and Equipment Guide p 105	1167
Emeral Caltrops	Wondrous	Equipment	Arms and Equipment Guide p 106	166
Equestrian's Spear	Weapon	Melee	Arms and Equipment Guide p 106	26615
Erythnul's Slaughter	Weapon	Melee	Arms and Equipment Guide p 106	72308
Etheral Bolt	Ammunition	Bolt	Arms and Equipment Guide p 106	797
Everburning Chain	Weapon	Melee	Arms and Equipment Guide p 106	22725
Fey Arrow	Ammuntion	Arrow	Arms and Equipment Guide p 106	297
Fellstone	Weapon	Melee	Arms and Equipment Guide p 106	32308
Flail of Shadows	Weapon	Melee	Arms and Equipment Guide p 106	48155
Flameshroud Axe	Weapon	Melee	Arms and Equipment Guide p 107	51510
Foe Reaper	Weapon	Melee	Arms and Equipment Guide p 107	32318
Force Web	Weapon	Ranged	Arms and Equipment Guide p 107	72320
Foretelling Blade	Weapon	Melee	Arms and Equipment Guide p 107	18315
Frost Shard Dagger 	Weapon	Melee	Arms and Equipment Guide p 107	1052
Ghost Hands	Weapon	Melee	Arms and Equipment Guide p 107	18302
Glaive of Torment	Weapon	Melee	Arms and Equipment Guide p 107	37308
Gnome Steam Bow	Weapon	Ranged	Arms and Equipment Guide p 107	18530
Gnome's Toolkit	Weapon	Ranged	Arms and Equipment Guide p 108	10335
Grasping Dagger	Weapon	Melee	Arms and Equipment Guide p 108	50302
Gray Snare	Weapon	Ranged	Arms and Equipment Guide p 108	74320
Gruumsh's Revenge	Weapon	Melee	Arms and Equipment Guide p 109	50305
Guerrilla Spear	Weapon	Melee	Arms and Equipment Guide p 109	32302
Guisarme of Long Falls	Weapon	Melee	Arms and Equipment Guide p 109	18309
Halberd of Vaulting	Weapon	Melee	Arms and Equipment Guide p 109	20310
Halfling's Exit	Ammunition	Bullet	Arms and Equipment Guide p 109	247
Hammer of the Magesmith	Weapon	Melee	Arms and Equipment Guide p 109	45912
Hammer of Sacrifice	Weapon	Melee	Arms and Equipment Guide p 109	32312
Hand of Heironeous	Weapon	Melee	Arms and Equipment Guide p 110	50315
Havoc Blade	Weapon	Melee	Arms and Equipment Guide p 110	98320
Ice Talon	Weapon	Melee	Arms and Equipment Guide p 110	24320
Incandescent Sword	Weapon	Melee	Arms and Equipment Guide p 110	72400
Ioun Blade	Weapon	Melee	Arms and Equipment Guide p 111	6302
Javelin of Chain Lightning	Weapon	Ranged	Arms and Equipment Guide p 111	3301
Greater Javelin of Lighting	Weapon	Ranged	Arms and Equipment Guide p 111	1501
Javelin of Obliteration	Weapon	Ranged	Arms and Equipment Guide p 111	9301
Javeling of Precision	Weapon	Ranged	Arms and Equipment Guide p 111	50301
Kama of Pure Aim	Weapon	Melee	Arms and Equipment Guide p 111	32302
Khopesh of the Loyal Minion	Weapon	Melee	Arms and Equipment Guide p 111	6320
Knight's Sword	Weapon	Melee	Arms and Equipment Guide p 111	18335
Kukri of Crippling	Weapon	Melee	Arms and Equipment Guide p 111	18308
Lance of Bravery	Weapon	Melee	Arms and Equipment Guide p 111	30310
Lance of Jousting	Weapon	Melee	Arms and Equipment Guide p 112	32306
Lance of Mangling	Weapon	Melee	Arms and Equipment Guide p 112	18310
Lance of the Unending Charge	Weapon	Melee	Arms and Equipment Guide p 112	25310
Larethian Protector	Weapon	Ranged	Arms and Equipment Guide p 112	50375
Living Net	Weapon	Ranged	Arms and Equipment Guide p 112	18320
Mace of Form	Weapon	Melee	Arms and Equipment Guide p 112	100312
Mace of the Snail	Weapon	Melee	Arms and Equipment Guide p 112	30992
Mace of Unlife	Weapon	Melee	Arms and Equipment Guide p 112	138312
Mace of Voices	Weapon	Melee	Arms and Equipment Guide p 112	37712
Mageblade	Weapon	Melee	Arms and Equipment Guide p 113	50315
Manticore Blade	Weapon	Melee	Arms and Equipment Guide p 113	20350
Maul of Construction	Weapon	Melee	Arms and Equipment Guide p 113	51824
Mirror Blade	Weapon	Melee	Arms and Equipment Guide p 113	38315
Moonsilver Shard	Weapon	Ranged	Arms and Equipment Guide p 114	50
Morningstar of Exhilaration	Weapon	Melee	Arms and Equipment Guide p 114	28308
Nunchaku of Mastery	Weapon	Melee	Arms and Equipment Guide p 114	22302
Packmaster Flail	Weapon	Melee	Arms and Equipment Guide p 114	24508
Piercing Tongue of Kath Kadan	Weapon	Melee	Arms and Equipment Guide p 114	35610
Plague Spreader	Weapon	Melee	Arms and Equipment Guide p 114	104715
Raking Blade	Weapon	Melee	Arms and Equipment Guide p 114	116700
Rankbreaker Glaive	Weapon	Melee	Arms and Equipment Guide p 114	32308
Ranseur of Readiness	Weapon	Melee	Arms and Equipment Guide p 114	50310
Ricochet Sling	Weapon	Ranged	Arms and Equipment Guide p 115	32300
Ringsword	Weapon	Melee	Arms and Equipment Guide p 115	22315
Sap of Stunning	Weapon	Melee	Arms and Equipment Guide p 115	16301
Sapling Club	Weapon	Melee	Arms and Equipment Guide p 115	32540
Scimitar of Colors	Weapon	Melee	Arms and Equipment Guide p 116	36515
Scimitar of Exertion	Weapon	Melee	Arms and Equipment Guide p 116	18315
Scourge of the Pomarj	Weapon	Melee	Arms and Equipment Guide p 116	68690
Self-Loading Crossbow	Weapon	Ranged	Arms and Equipment Guide p 116	12350
Shadow's Hand	Weapon	Ranged	Arms and Equipment Guide p 116	30301
Shield Blade	Weapon	Melee	Arms and Equipment Guide p 116	10630
Siangham of Focus	Weapon	Melee	Arms and Equipment Guide p 116	19303
Sickle of Talons	Weapon	Melee	Arms and Equipment Guide p 116	26306
Skullshaker Hammer	Weapon	Melee	Arms and Equipment Guide p 116	18312
Skybow	Weapon	Ranged	Arms and Equipment Guide p 117	25975
Sling of Misdirection	Weapon	Ranged 	Arms and Equipment Guide p 117	30300
Soldier's Rest	Weapon	Melee	Arms and Equipment Guide p 117	4808
Songblade	Weapon	Melee	Arms and Equipment Guide p 117	6400
Sorcerer's Hand	Weapon	Melee	Arms and Equipment Guide p 117	18335
Spear of Impaling	Weapon	Melee	Arms and Equipment Guide p 117	32305
Spear of The Hunt	Weapon	Melee	Arms and Equipment Guide p 117	38302
Spear of Skirmishing	Weapon	Ranged	Arms and Equipment Guide p 117	32301
Spell Shield Falchion	Weapon	Melee	Arms and Equipment Guide p 117	38708
Spider's Nest Bullet	Ammunition	Bullet	Arms and Equipment Guide p 118	1057
Spinning Blade	Weapon	Ranged	Arms and Equipment Guide p 118	50315
Staff of Balance	Weapon	Melee	Arms and Equipment Guide p 118	26600
Staff of Disciple	Weapon	Melee	Arms and Equipment Guide p 118	50600
Staff of Memory	Weapon	Melee	Arms and Equipment Guide p 118	32600
Standard of Ulek	Weapon	Melee	Arms and Equipment Guide p 119	23830
Stirge Bolt	Ammunition	Bolt	Arms and Equipment Guide p 119	1007
Stone Spear	Weapon	Melee	Arms and Equipment Guide p 119	32302
Summoning Arrow	Ammunition	Arrow	Arms and Equipment Guide p 119	257
Sword of Avoidance	Weapon	Melee	Arms and Equipment Guide p 119	38315
Sword of Countering	Weapon	Melee	Arms and Equipment Guide p 119	33905
Sword of Crypts	Weapon	Melee	Arms and Equipment Guide p 119	42315
Sword of the Diplomat	Weapon	Melee	Arms and Equipment Guide p 119	64310
Sword of Escape	Weapon	Melee	Arms and Equipment Guide p 119	88310
Sword of Graceful Strikes	Weapon	Melee	Arms and Equipment Guide p 120	72310
Sword of Judgement	Weapon	Melee	Arms and Equipment Guide p 120	43115
Sword of the Mammoth	Weapon	Melee	Arms and Equipment Guide p 120	18350
Sword of Opportunity	Weapon	Melee	Arms and Equipment Guide p 120	18315
Sword of Readiness	Weapon	Melee	Arms and Equipment Guide p 120	36700
Sword of Retribution	Weapon	Melee	Arms and Equipment Guide p 121	72335
Sword of Sanctuary	Weapon	Melee	Arms and Equipment Guide p 121	19115
Sword of the Solars	Weapon	Melee	Arms and Equipment Guide p 121	3920335
Sword of Versatility	Weapon	Melee	Arms and Equipment Guide p 121	36700
Sword of Zeal	Weapon	Melee	Arms and Equipment Guide p 121	72335
Thirsting Blade	Weapon	Melee	Arms and Equipment Guide p 121	72315
Tourney Lance	Weapon	Melee	Arms and Equipment Guide p 121	50310
Trident of the Depths	Weapon	Melee	Arms and Equipment Guide p 121	8315
Truestone Hammer	Weapon	Melee	Arms and Equipment Guide p 122	51120
Twin Blade	Weapon	Melee	Arms and Equipment Guide p 122	29829
Vanishing Blade	Weapon	Melee	Arms and Equipment Guide p 122	47120
Vigilant Halberd	Weapon	Melee	Arms and Equipment Guide p 122	72310
Viper Whip	Weapon	Melee	Arms and Equipment Guide p 122	38301
Warrenguard	Weapon	Melee	Arms and Equipment Guide p 123	40310
Weaponeater	Weapon	Melee	Arms and Equipment Guide p 123	58300
Whirling Axe	Weapon	Melee	Arms and Equipment Guide p 123	18320
Whisperblade	Weapon	Melee	Arms and Equipment Guide p 123	48520
Potion of Animal Senses	Consumable	Potion	Arms and Equipment Guide p 123	380
Potion of Watery Breath	Consumable	Potion	Arms and Equipment Guide p 123	300
Beetle Elixir	Consumable	Elixir	Arms and Equipment Guide p 123	8300
Electric Eel Elixir	Consumable	Elixir	Arms and Equipment Guide p 123	2050
Porcupine Elixir	Consumable	Elixir	Arms and Equipment Guide p 123	2300
Rhino Elixir	Consumable	Elixir	Arms and Equipment Guide p 124	17500
Ring of Chaotic Command	Wondrous	Ring	Arms and Equipment Guide p 124	200000
Ring of Evil Command	Wondrous	Ring	Arms and Equipment Guide p 124	200000
Ring of Good Command	Wondrous	Ring	Arms and Equipment Guide p 124	200000
Ring of Lawful Command	Wondrous	Ring	Arms and Equipment Guide p 124	200000
Ring of Force Armor	Wondrous	Ring	Arms and Equipment Guide p 124	45000
Ring of Greater Counterspelling	Wondrous	Ring	Arms and Equipment Guide p 125	16000
Ring of Hive Mind	Wondrous	Ring	Arms and Equipment Guide p 125	180000
Ring of Magic Fang	Wondrous	Ring	Arms and Equipment Guide p 125	6000
Ring of Misdirection	Wondrous	Ring	Arms and Equipment Guide p 125	7000
Ring of Thunderclaps	Wondrous	Ring	Arms and Equipment Guide p 125	11200
Ring of Minor Universal Elemental Resistance	Wondrous	Ring	Arms and Equipment Guide p 125	144000
Rod of Construct Control	Wondrous	Rod	Arms and Equipment Guide p 125	68850
Rod of Embassy	Wondrous	Rod	Arms and Equipment Guide p 125	20000
Rod of Force	Wondrous	Rod	Arms and Equipment Guide p 126	125000
Ghost Rod	Wondrous	Rod	Arms and Equipment Guide p 126	50000
Rod of Mimicry	Wondrous	Rod	Arms and Equipment Guide p 126	30000
Rod of Paralysis	Wondrous	Rod	Arms and Equipment Guide p 126	22000
Tentacle Rod	Wondrous	Rod	Arms and Equipment Guide p 126	21000
Greater Tentacle Rod	Wondrous	Rod	Arms and Equipment Guide p 126	57000
Rod of Tracking	Wondrous	Rod	Arms and Equipment Guide p 127	37800
Rod of Trees	Wondrous	Rod	Arms and Equipment Guide p 127	120000
Rod of Warning	Wondrous	Rod	Arms and Equipment Guide p 127	58000
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		
Staff of the	Wondrous	Staff		